ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13767643,JJ172124,03/07/2025 12:45:00 AM,001XX W CERMAK RD,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,false,false,0914,009,11,34,04B,1175616,1889758,2025,03/15/2025 03:41:21 PM,41.852868298,-87.63091491,POINT (-87.63091491 41.852868298)
13768104,JJ172042,03/06/2025 08:45:00 PM,001XX W LAKE ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",CTA PLATFORM,false,true,0122,001,42,32,04B,1175301,1901735,2025,03/14/2025 03:40:50 PM,41.885741029,-87.631711749,POINT (-87.631711749 41.885741029)
13766417,JJ170717,03/05/2025 07:20:00 PM,047XX S LAFLIN ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,false,false,0933,009,20,61,04B,1167133,1873405,2025,03/13/2025 03:41:13 PM,41.808180214,-87.66251876,POINT (-87.66251876 41.808180214)
13762015,JJ165189,02/28/2025 05:29:00 PM,066XX S WESTERN AVE,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS,false,false,0832,008,16,66,08B,1161523,1860334,2025,03/08/2025 03:41:07 PM,41.772429982,-87.683457325,POINT (-87.683457325 41.772429982)
13761828,JJ165297,02/28/2025 05:24:00 PM,002XX W 63RD ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA PLATFORM,false,false,0711,007,20,68,04B,1175827,1863196,2025,03/08/2025 03:41:07 PM,41.779975054,-87.630937377,POINT (-87.630937377 41.779975054)
13760692,JJ163785,02/27/2025 01:03:00 PM,051XX S PULASKI RD,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA STATION,false,false,0815,008,23,62,04B,1150563,1870470,2025,03/07/2025 03:41:08 PM,41.800464977,-87.723370404,POINT (-87.723370404 41.800464977)
13759738,JJ161174,02/25/2025 09:32:00 AM,0000X W MADISON ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS STOP,false,false,0112,001,34,32,04B,1176050,1900379,2025,03/05/2025 03:42:07 PM,41.882003251,-87.629002167,POINT (-87.629002167 41.882003251)
13757311,JJ159706,02/24/2025 01:27:00 AM,005XX S HOMAN AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA TRAIN,false,false,1133,011,24,27,08B,1153797,1897326,2025,03/04/2025 03:41:22 PM,41.87409759,-87.71079636,POINT (-87.71079636 41.87409759)
13756220,JJ158496,02/22/2025 07:30:00 PM,047XX S PRAIRIE AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,CTA TRAIN,false,false,0224,002,3,38,04B,1178839,1873687,2025,03/02/2025 03:41:58 PM,41.808695297,-87.619575695,POINT (-87.619575695 41.808695297)
13754445,JJ156290,02/20/2025 09:32:00 PM,001XX W 35TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,CTA TRAIN,false,false,0915,009,11,34,04B,1175739,1881773,2025,02/28/2025 03:41:36 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
13754413,JJ156300,02/20/2025 09:20:00 PM,046XX N FRANCISCO AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,false,false,1713,017,40,14,04B,1156204,1930784,2025,02/28/2025 03:41:36 PM,41.965860757,-87.701053221,POINT (-87.701053221 41.965860757)
13752811,JJ154220,02/19/2025 06:30:00 AM,001XX W 35TH ST,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,CTA PLATFORM,false,false,0915,009,11,34,04B,1175739,1881773,2025,02/27/2025 03:41:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
13751806,JJ153025,02/17/2025 10:45:00 PM,009XX W FULLERTON AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,true,false,1812,018,43,7,04B,1169577,1916141,2025,03/06/2025 03:40:46 PM,41.925398449,-87.652311296,POINT (-87.652311296 41.925398449)
13751758,JJ151885,02/16/2025 07:42:00 PM,0000X W 95TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,false,false,0634,006,9,49,04B,1177762,1841949,2025,02/24/2025 03:42:34 PM,41.721627204,-87.624485177,POINT (-87.624485177 41.721627204)
13750618,JJ151727,02/16/2025 04:40:00 PM,009XX W FULLERTON AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA BUS,false,false,1812,018,43,7,04B,1169570,1916141,2025,02/24/2025 03:42:34 PM,41.925398601,-87.652337017,POINT (-87.652337017 41.925398601)
13748235,JJ147607,02/12/2025 05:18:00 PM,023XX E 79TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,false,false,0414,004,7,43,04B,1193357,1853048,2025,02/20/2025 03:42:07 PM,41.751717281,-87.567002336,POINT (-87.567002336 41.751717281)
