ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12944258,JG106638,12/31/2022 09:15:00 PM,016XX N CLARK ST,0460,BATTERY,SIMPLE,CTA PLATFORM,false,false,1814,018,2,7,08B,1175164,1911183,2022,11/15/2023 03:41:31 PM,41.911669895,-87.631931184,"(41.911669895, -87.631931184)"
12938795,JG100626,12/31/2022 07:30:00 PM,011XX W BELMONT AVE,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,1924,019,44,6,08B,1168303,1921404,2022,01/07/2023 03:41:08 PM,41.939868048,-87.656839962,"(41.939868048, -87.656839962)"
12939018,JG100717,12/31/2022 05:20:00 PM,011XX S HOMAN AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,1134,011,24,29,08B,1153884,1894595,2022,01/07/2023 03:41:08 PM,41.866601699,-87.710549682,"(41.866601699, -87.710549682)"
12937924,JF528683,12/31/2022 12:35:00 PM,025XX S ARCHER AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA PLATFORM,false,false,0913,009,11,60,04B,1171170,1887518,2022,01/07/2023 03:41:08 PM,41.846820192,-87.647298713,"(41.846820192, -87.647298713)"
12937735,JF528358,12/31/2022 06:00:00 AM,017XX E 103RD ST,051A,ASSAULT,AGGRAVATED - HANDGUN,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,0434,004,10,51,04A,1189109,1837018,2022,01/07/2023 03:41:08 PM,41.7078321,-87.583081031,"(41.7078321, -87.583081031)"
12937719,JF528361,12/31/2022 05:50:00 AM,017XX E 103RD ST,0460,BATTERY,SIMPLE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,0431,004,10,51,08B,1189114,1837018,2022,01/07/2023 03:41:08 PM,41.70783198,-87.583062721,"(41.70783198, -87.583062721)"
12937518,JF528322,12/31/2022 04:34:00 AM,001XX N STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA PLATFORM,false,true,0111,001,42,32,08B,1176330,1901649,2022,01/07/2023 03:41:08 PM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
12937602,JF528315,12/31/2022 04:10:00 AM,015XX N CLYBOURN AVE,0460,BATTERY,SIMPLE,CTA TRAIN,true,false,1822,018,2,8,08B,1170470,1910783,2022,01/07/2023 03:41:08 PM,41.910676312,-87.649187069,"(41.910676312, -87.649187069)"
12937487,JF528304,12/31/2022 03:50:00 AM,0000X W 79TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,CTA BUS STOP,false,false,0623,006,6,44,04A,1177483,1852629,2022,01/07/2023 03:41:08 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
12937513,JF528312,12/31/2022 03:45:00 AM,011XX S STATE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,false,false,0123,001,4,32,04B,1176517,1895340,2022,01/07/2023 03:41:08 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12937836,JF528521,12/31/2022 02:00:00 AM,008XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,1832,018,2,8,03,1176223,1905805,2022,01/07/2023 03:41:08 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)"
12937521,JF528264,12/31/2022 01:00:00 AM,033XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,false,false,1713,017,33,14,14,1153007,1931688,2022,01/07/2023 03:41:08 PM,41.968405527,-87.712783941,"(41.968405527, -87.712783941)"
12937390,JF528147,12/30/2022 10:40:00 PM,018XX W IRVING PARK RD,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,1912,019,47,5,03,1163345,1926591,2022,01/06/2023 03:40:48 PM,41.954207366,-87.674915646,"(41.954207366, -87.674915646)"
12937371,JF528108,12/30/2022 09:44:00 PM,005XX S PULASKI RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,CTA TRAIN,true,false,1132,011,24,26,15,1149812,1897228,2022,01/06/2023 03:40:48 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
12937305,JF527848,12/30/2022 04:40:00 PM,005XX S KEDZIE AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,false,false,1134,011,24,27,04B,1155124,1897322,2022,01/06/2023 03:40:48 PM,41.874060099,-87.705924314,"(41.874060099, -87.705924314)"
12937019,JF527821,12/30/2022 04:40:00 PM,001XX N STATE ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),CTA PLATFORM,true,false,0111,001,42,32,18,1176330,1901649,2022,01/06/2023 03:40:48 PM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
12936863,JF527524,12/30/2022 12:35:00 PM,011XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA PLATFORM,true,false,0123,001,4,32,11,1176517,1895340,2022,01/06/2023 03:40:48 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12936849,JF527483,12/30/2022 12:10:00 PM,011XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA TRAIN,true,false,0123,001,4,32,11,1176517,1895340,2022,01/06/2023 03:40:48 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12936841,JF527448,12/30/2022 11:05:00 AM,011XX S STATE ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,CTA TRAIN,true,false,0123,001,4,32,18,1176517,1895340,2022,01/06/2023 03:40:48 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12936651,JF527199,12/30/2022 06:30:00 AM,010XX N WESTERN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA BUS STOP,false,false,1212,012,1,24,03,1160214,1907073,2022,01/06/2023 03:40:48 PM,41.900714079,-87.686966495,"(41.900714079, -87.686966495)"
12937250,JF527652,12/30/2022 05:12:00 AM,072XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,CTA BUS,false,false,0323,003,6,69,08A,1180161,1857127,2022,01/06/2023 03:40:48 PM,41.763222856,-87.615234209,"(41.763222856, -87.615234209)"
12936594,JF527149,12/30/2022 04:43:00 AM,058XX W MADISON ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,false,false,1513,015,29,25,14,1137612,1899424,2022,01/06/2023 03:40:48 PM,41.880161534,-87.770170439,"(41.880161534, -87.770170439)"
