station_id,stationname,date,daytype,rides
40010,Austin-Forest Park,1/1/22,A,231
40020,Harlem-Lake,1/1/22,A,500
40030,Pulaski-Lake,1/1/22,A,284
40040,Quincy/Wells,1/1/22,A,493
40050,Davis,1/1/22,A,502
40060,Belmont-O'Hare,1/1/22,A,884
40070,Jackson/Dearborn,1/1/22,A,722
40080,Sheridan,1/1/22,A,946
40090,Damen-Brown,1/1/22,A,343
40100,Morse,1/1/22,A,926
40120,35th/Archer,1/1/22,A,383
40130,51st,1/1/22,A,183
40140,Dempster-Skokie,1/1/22,A,174
40150,Pulaski-Cermak,1/1/22,A,288
40160,LaSalle/Van Buren,1/1/22,A,150
40170,Ashland-Lake,1/1/22,A,309
40180,Oak Park-Forest Park,1/1/22,A,169
40190,Sox-35th-Dan Ryan,1/1/22,A,623
40210,Damen-Cermak,1/1/22,A,337
40220,Western-Forest Park,1/1/22,A,271
40230,Cumberland,1/1/22,A,542
40240,79th,1/1/22,A,1367
40250,Kedzie-Homan-Forest Park,1/1/22,A,374
40260,State/Lake,1/1/22,A,2063
40270,Main,1/1/22,A,139
40280,Central-Lake,1/1/22,A,292
40290,Ashland/63rd,1/1/22,A,183
40300,Indiana,1/1/22,A,84
40310,Western-Orange,1/1/22,A,508
40320,Division/Milwaukee,1/1/22,A,1151
40330,Grand/State,1/1/22,A,4761
40340,Berwyn,1/1/22,A,0
40350,UIC-Halsted,1/1/22,A,549
40360,Southport,1/1/22,A,541
40370,Washington/Dearborn,1/1/22,A,1794
40380,Clark/Lake,1/1/22,A,1953
40390,Forest Park,1/1/22,A,380
40400,Noyes,1/1/22,A,72
40420,Cicero-Cermak,1/1/22,A,317
40430,Clinton-Forest Park,1/1/22,A,418
40440,California-Cermak,1/1/22,A,266
40450,95th/Dan Ryan,1/1/22,A,1546
40460,Merchandise Mart,1/1/22,A,483
40470,Racine,1/1/22,A,312
40480,Cicero-Lake,1/1/22,A,185
40490,Grand/Milwaukee,1/1/22,A,749
40510,Garfield-South Elevated,1/1/22,A,174
40520,Foster,1/1/22,A,102
40530,Diversey,1/1/22,A,685
40540,Wilson,1/1/22,A,1567
40550,Irving Park-O'Hare,1/1/22,A,804
