station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,1/1/22,1937.8,1408,1145.8,53463
41190,Jarvis,1/1/22,575.9,453.8,379.4,16259
40100,Morse,1/1/22,1525.9,1148,944.8,42508
41300,Loyola,1/1/22,1510.1,1402.4,1043.6,43943
40760,Granville,1/1/22,1206.2,1066.2,804,34681
40880,Thorndale,1/1/22,1000.9,676.4,551,27155
41380,Bryn Mawr,1/1/22,1446.3,1089.4,849.6,40067
40340,Berwyn,1/1/22,0,0,0,0
41200,Argyle,1/1/22,1411,1315.6,1018,41300
40770,Lawrence,1/1/22,0,0,0,0
40540,Wilson,1/1/22,3033.9,2362,1807.4,84559
40080,Sheridan,1/1/22,1466.8,1236.4,896.6,41467
41420,Addison-North Main,1/1/22,1932.2,1989.8,1369,57371
41320,Belmont-North Main,1/1/22,3709.9,4053.8,2990,113126
41220,Fullerton,1/1/22,4386.2,3213,2404,120195
40650,North/Clybourn,1/1/22,1829.8,1622.6,1245.4,52766
40630,Clark/Division,1/1/22,2807.7,2419.6,1880.6,80462
41450,Chicago/State,1/1/22,3883.9,3457.6,2727.2,112485
40330,Grand/State,1/1/22,2700.7,3608.6,2546.8,87491
41660,Lake/State,1/1/22,5077.9,4092.6,3216.4,143181
41090,Monroe/State,1/1/22,1826.5,1253.4,951.6,49382
40560,Jackson/State,1/1/22,2079,1061.4,823.4,53082
41490,Harrison,1/1/22,1314.1,1104.2,836.6,37300
41400,Roosevelt,1/1/22,3698,3103.8,2801.2,107183
41000,Cermak-Chinatown,1/1/22,1262.1,1545,1083.8,39649
40190,Sox-35th-Dan Ryan,1/1/22,1157.2,696.6,559.8,30584
41230,47th-Dan Ryan,1/1/22,988.7,671.4,512.6,26682
41170,Garfield-Dan Ryan,1/1/22,1056.1,745.8,517.6,28496
40910,63rd-Dan Ryan,1/1/22,1022.4,718.6,608.2,28104
40990,69th,1/1/22,1613.6,1141.4,854.6,43865
40240,79th,1/1/22,2265.7,1550.4,1258.2,61623
41430,87th,1/1/22,1276.4,834,703.8,34493
40450,95th/Dan Ryan,1/1/22,3209.3,1886.2,1594.4,84799
41050,Linden,1/1/22,247.2,134,92.2,6323
41250,Central-Evanston,1/1/22,300,153.2,107.8,7604
40400,Noyes,1/1/22,340.2,232.2,165.4,9132
40520,Foster,1/1/22,275.9,243.8,161.6,7821
40050,Davis,1/1/22,1072.4,823.2,611.2,29692
40690,Dempster,1/1/22,268.2,212,172.2,7554
40270,Main,1/1/22,361.2,253,206.6,9884
40840,South Boulevard,1/1/22,245.6,149.8,119,6501
40140,Dempster-Skokie,1/1/22,459,257.2,199.2,11922
41680,Oakton-Skokie,1/1/22,287.8,114.4,84.4,7037
40890,O'Hare Airport,1/1/22,4300,3657,4324,130206
40820,Rosemont,1/1/22,1900.2,1218,968,50835
40230,Cumberland,1/1/22,997.4,517.4,409.4,25580
40750,Harlem-O'Hare,1/1/22,969.4,454.8,368.8,24476
41280,Jefferson Park,1/1/22,2342.2,1363,1156.6,61785
41330,Montrose-O'Hare,1/1/22,668.8,406,309,17619
40550,Irving Park-O'Hare,1/1/22,1299.9,837,629.4,34629
41240,Addison-O'Hare,1/1/22,892,440.8,341,22642
40060,Belmont-O'Hare,1/1/22,1839.7,1123,886.2,48679
41020,Logan Square,1/1/22,2053.8,1435.2,1057.2,55592
40570,California/Milwaukee,1/1/22,1488.1,1077.4,755,40412
40670,Western/Milwaukee,1/1/22,1474.5,1021.8,700.6,39577
