Layer,Name,GEOID,Longitude,Latitude,HCSNSP_2022-2023,HCSTLEP_2022-2023
,,,,,"Perceived neighborhood safety rate (% of adults), 2022-2023","Trust in law enforcement rate (% of adults), 2022-2023"
Community area,Rogers Park,1,-87.67017100,42.00963000,60.700015596,43.640613186
Community area,Norwood Park,10,-87.80345100,41.98524800,77.766412855,77.388891163
Community area,Jefferson Park,11,-87.77116500,41.97883600,79.263826467,60.079924773
Community area,Forest Glen,12,-87.75835800,41.99393800,94.582335434,88.719634075
Community area,North Park,13,-87.72357800,41.98365100,87.16669581,58.481791305
Community area,Albany Park,14,-87.72155800,41.96807800,55.768261598,46.974343983
Community area,Portage Park,15,-87.76340100,41.95404300,72.929773112,59.575907417
Community area,Irving Park,16,-87.72345700,41.95358900,80.989105711,60.812041159
Community area,Dunning,17,-87.80601500,41.94652200,81.367738772,71.216958775
Community area,Montclare,18,-87.79803300,41.92930600,73.837639058,75.303814739
Community area,Belmont Cragin,19,-87.76550200,41.92727500,56.166859559,55.862994899
Community area,West Ridge,2,-87.69501700,42.00158300,63.230142421,54.774316502
Community area,Hermosa,20,-87.73474100,41.92435300,50.002806262,54.206493232
Community area,Avondale,21,-87.71121900,41.93867300,70.664655237,52.047227637
Community area,Logan Square,22,-87.69914900,41.92276800,77.564645157,45.775287421
Community area,Humboldt Park,23,-87.72091700,41.90008000,46.543128779,44.879460827
Community area,West Town,24,-87.67635800,41.90121600,67.877569587,40.268408779
Community area,Austin,25,-87.76311700,41.89411300,41.461480672,46.559784598
Community area,West Garfield Park,26,-87.73023300,41.87860200,35.386325334,48.919113784
Community area,East Garfield Park,27,-87.70589200,41.87892300,40.948619534,44.810191908
Community area,Near West Side,28,-87.66351300,41.87401600,58.31915608,55.432068125
Community area,North Lawndale,29,-87.71721800,41.86019700,36.706889385,47.194818432
Community area,Uptown,3,-87.65589900,41.96582200,74.177080149,36.104440046
Community area,South Lawndale,30,-87.71400000,41.83909100,30.879341477,50.674384985
Community area,Lower West Side,31,-87.66757000,41.85027700,46.936314554,41.658532806
Community area,Loop,32,-87.62519400,41.87888100,71.38466391,60.298313965
Community area,Near South Side,33,-87.62034400,41.85719600,75.923704984,64.696323232
Community area,Armour Square,34,-87.63397600,41.84208300,39.107556609,53.981387483
Community area,Douglas,35,-87.61868000,41.83512200,46.823601473,51.029031719
Community area,Oakland,36,-87.60321700,41.82375400,58.173504121,37.66712838
